time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h)
2023-01-01,10.516666666666667,80.95833333333333,0.0,1011.225,1011.125,7.416666666666667,17.7625
2023-01-02,9.029166666666667,81.66666666666667,1.2166666666666666,1011.475,1011.375,74.0,13.195833333333333
2023-01-03,9.854166666666666,87.41666666666667,0.008333333333333333,1014.2583333333333,1014.1583333333333,84.66666666666667,12.1875
2023-01-04,12.0625,86.70833333333333,1.4333333333333333,1007.4250000000001,1007.3249999999999,95.91666666666667,25.40833333333333
2023-01-05,11.420833333333334,87.125,0.4041666666666666,1011.3208333333333,1011.2208333333333,66.625,22.675
2023-01-06,11.691666666666668,79.625,0.0,1022.5166666666668,1022.4166666666666,69.41666666666667,11.379166666666668
2023-01-07,12.254166666666668,75.20833333333333,0.5291666666666667,1015.4250000000001,1015.3249999999999,91.83333333333333,22.879166666666666
2023-01-08,13.120833333333332,83.33333333333333,0.8000000000000002,1014.6041666666666,1014.5041666666666,68.33333333333333,16.929166666666667
2023-01-09,13.0875,88.91666666666667,1.2958333333333334,1007.4833333333332,1007.3833333333333,68.45833333333333,17.654166666666665
2023-01-10,11.195833333333333,83.0,0.6875,1008.6791666666667,1008.5791666666668,69.375,27.24166666666667
2023-01-11,11.9625,90.16666666666667,0.9458333333333333,1017.6791666666667,1017.5791666666668,96.25,22.05
2023-01-12,14.066666666666668,77.625,0.0,1019.1458333333334,1019.0458333333332,49.583333333333336,13.170833333333334
2023-01-13,12.991666666666667,81.04166666666667,0.35000000000000003,1015.525,1015.4250000000001,86.25,19.295833333333334
2023-01-14,11.883333333333333,89.45833333333333,1.1125,1006.9833333333332,1006.8833333333333,92.375,24.445833333333336
2023-01-15,10.066666666666666,84.25,0.6291666666666668,1005.6083333333332,1005.5083333333333,90.45833333333333,13.637500000000001
2023-01-16,9.737499999999999,80.08333333333333,0.7583333333333333,1004.5500000000001,1004.4499999999999,66.45833333333333,27.145833333333332
2023-01-17,8.858333333333333,83.41666666666667,0.0,1015.9166666666666,1015.8166666666666,1.5,8.758333333333333
2023-01-18,9.858333333333333,86.66666666666667,0.029166666666666664,1020.7708333333334,1020.6708333333332,66.83333333333333,9.304166666666667
2023-01-19,8.987499999999999,81.0,0.10416666666666667,1023.0416666666666,1022.9416666666666,28.416666666666668,12.85
2023-01-20,8.183333333333334,62.708333333333336,0.0,1026.0041666666666,1025.9041666666667,0.2916666666666667,11.329166666666666
2023-01-21,8.041666666666666,77.70833333333333,0.0,1029.0333333333333,1028.9333333333334,22.375,8.3125
2023-01-22,9.904166666666667,72.0,0.0,1023.5458333333332,1023.4458333333333,21.583333333333332,14.116666666666667
2023-01-23,10.279166666666667,53.541666666666664,0.0,1021.1875,1021.0875,2.1666666666666665,12.4625
2023-01-24,9.6625,70.08333333333333,0.0,1026.9958333333334,1026.8958333333333,1.1666666666666667,9.875
2023-01-25,10.65,75.16666666666667,0.0,1027.875,1027.7749999999999,0.041666666666666664,9.670833333333333
2023-01-26,11.845833333333333,61.625,0.0,1029.2041666666667,1029.1041666666667,0.0,11.8375
2023-01-27,9.625,90.125,0.0,1023.2958333333332,1023.1958333333333,22.458333333333332,9.333333333333334
2023-01-28,9.2875,90.29166666666667,0.0,1016.4041666666667,1016.3041666666667,42.25,12.554166666666667
2023-01-29,8.783333333333333,75.5,0.02916666666666667,1011.65,1011.5500000000001,56.375,22.1125
2023-01-30,6.9750000000000005,56.0,0.0,1018.0166666666668,1017.9166666666666,0.08333333333333333,11.691666666666668
2023-01-31,7.354166666666667,60.041666666666664,0.0,1022.2208333333333,1022.1208333333334,8.75,8.25
2023-02-01,7.75,77.625,0.0,1022.5708333333333,1022.4708333333333,27.708333333333332,7.866666666666667
2023-02-02,8.541666666666666,79.54166666666667,0.0,1023.6374999999999,1023.5375,52.958333333333336,7.783333333333334
2023-02-03,10.295833333333333,85.70833333333333,0.5458333333333333,1023.1166666666667,1023.0166666666668,97.125,10.304166666666665
2023-02-04,11.262500000000001,93.875,0.30416666666666664,1019.15,1019.0500000000001,93.75,16.820833333333333
2023-02-05,9.983333333333333,84.125,0.33749999999999997,1023.3666666666667,1023.2666666666668,43.916666666666664,23.054166666666664
2023-02-06,8.695833333333333,82.875,0.0,1029.0166666666667,1028.9166666666667,2.8333333333333335,8.9625
2023-02-07,9.254166666666666,86.95833333333333,0.0,1027.7124999999999,1027.6125,30.666666666666668,7.470833333333334
2023-02-08,10.0625,86.58333333333333,0.0,1027.5708333333334,1027.4708333333333,6.375,6.8999999999999995
2023-02-09,10.416666666666666,85.45833333333333,0.0,1025.5083333333334,1025.4083333333333,2.0,9.279166666666667
2023-02-10,9.758333333333333,83.16666666666667,0.025000000000000005,1022.5583333333334,1022.4583333333334,39.5,15.804166666666667
2023-02-11,8.758333333333333,81.125,0.2708333333333333,1015.3416666666667,1015.2416666666667,49.166666666666664,12.079166666666666
2023-02-12,9.3125,90.125,0.0,1015.125,1015.025,24.625,7.954166666666667
2023-02-13,9.816666666666666,85.54166666666667,0.0,1012.9958333333334,1012.8958333333334,11.166666666666666,22.400000000000002
2023-02-14,8.0,68.20833333333333,0.008333333333333333,1017.8833333333333,1017.7833333333333,10.375,29.28333333333333
2023-02-15,7.741666666666667,64.41666666666667,0.0,1023.7041666666668,1023.6041666666666,0.16666666666666666,10.516666666666667
2023-02-16,7.654166666666666,72.45833333333333,0.0,1023.8833333333333,1023.7833333333333,41.208333333333336,7.1499999999999995
